,conformer_file,conformer_id,isomer,ring
0,proala0054a.log:,proala0054,t, 4i
1,proala0005a.log:,proala0005,t, 4o
2,proala0043a.log:,proala0043,t, 4o
3,proala0120a.log:,proala0120,t, 4i
4,proala0049a.log:,proala0049,t, 4i
5,proala0040a.log:,proala0040,t, 4o
6,proala0006a.log:,proala0006,t, 4o
7,proala0010a.log:,proala0010,t, 4i
8,proala0059a.log:,proala0059,t, 4o
9,proala0067a.log:,proala0067,t, 4i
10,proala0029a.log:,proala0029,t, 4o
11,proala0051a.log:,proala0051,t, 5o
12,proala0003a.log:,proala0003,t, 4o
13,proala0008a.log:,proala0008,t, 4i
14,proala0023a.log:,proala0023,t, 1i
15,proala0011a.log:,proala0011,t, 4o
16,proala0012a.log:,proala0012,t, 4i
17,proala0038a.log:,proala0038,t, 5o
18,proala0025a.log:,proala0025,t, 4o
19,proala0033a.log:,proala0033,t, 4o
20,proala0037a.log:,proala0037,t, 5o
21,proala0087a.log:,proala0087,t, 4o
22,proala0019a.log:,proala0019,t, 1i
23,proala0089a.log:,proala0089,t, 5o
24,proala0081a.log:,proala0081,t, 1i
25,proala0140a.log:,proala0140,t, 4o
26,proala0015a.log:,proala0015,t, 4o
27,proala0093a.log:,proala0093,t, 4o
28,proala0096a.log:,proala0096,t, 1i
29,proala0101a.log:,proala0101,t, 5o
30,proala0024a.log:,proala0024,t, 5o
31,proala0018a.log:,proala0018,t, 1i
32,proala0045a.log:,proala0045,t, 4o
33,proala0042a.log:,proala0042,t, 5o
34,proala0115a.log:,proala0115,c, 1o
35,proala0132a.log:,proala0132,t, 4o
36,proala0063a.log:,proala0063,c, 4o
37,proala0139a.log:,proala0139,t, 5o
38,proala0116a.log:,proala0116,c, 1i
39,proala0105a.log:,proala0105,c, 5o
40,proala0079a.log:,proala0079,c, 4o
41,proala0106a.log:,proala0106,c, 5o
42,proala0088a.log:,proala0088,c, 1o
43,proala0062a.log:,proala0062,c, 1i
44,proala0135a.log:,proala0135,c, 3i
45,proala0127a.log:,proala0127,t, 1i
46,proala0068a.log:,proala0068,c, 1i
47,proala0129a.log:,proala0129,t, 4i
48,proala0100a.log:,proala0100,c, 1i
49,proala0125a.log:,proala0125,t, 4o
50,proala0130a.log:,proala0130,c, 3i
51,proala0117a.log:,proala0117,c, 5i
52,proala0114a.log:,proala0114,c, 1o
53,proala0075a.log:,proala0075,c, 1i
54,proala0080a.log:,proala0080,c, 1o
55,proala0044a.log:,proala0044,c, 1i
56,proalazw0017c.log:,proalazw0017,t, 4i
57,proala0086a.log:,proala0086,c, 5o
58,proala0099a.log:,proala0099,c, 1i
59,proala0146a.log:,proala0146,t, 4o
60,proala0123a.log:,proala0123,c, 5o
61,proala0110a.log:,proala0110,c, 5i
62,proala0128a.log:,proala0128,c, 5o
63,proala0137a.log:,proala0137,c, 3i
64,proala0134a.log:,proala0134,c, 1i
65,proala0144a.log:,proala0144,c, 3i
66,proala0092a.log:,proala0092,c, 5i
67,proala0141a.log:,proala0141,c, 4i
68,proala0124a.log:,proala0124,c, 1i
69,proalazw0009c.log:,proalazw0009,c, 2i
70,proala0142a.log:,proala0142,c, 1i
